"Horodateur","Ça va ?","Quel type de musique écoutez vous le plus ? ","Depuis combien de temps écoutez-vous le style choisi ?","Quel autre type de musique écoutez vous ? (Non obligatoire)","Suite à la question précédente, depuis combien de temps écoutez-vous le deuxième style choisi s'il existe ?","Sur quelle plateforme écoutez vous de la musique ?","Sur quel support écoutez vous de la musique ?","Durant combien de temps écoutez vous de la musique par semaine ?","Êtes-vous un homme ou une femme ?","Avant d'arriver aux Mines d'Alès, quel type d'établissement scolaire fréquentiez-vous ?","Quel est votre GPA ? (à 0.1 près, les deux chiffres séparés par un point)","Pratiquez vous du sport et/ou jouez vous de la musique ?","En dehors des périodes scolaires, habitez-vous en zone rurale ou urbaine ?","Êtes-vous boursier ?"
"2020/02/04 5:36:02 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","3.6","Je fais du sport","3","Non"
"2020/02/04 5:36:18 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.5","Aucun des deux","2","Non"
"2020/02/04 5:38:33 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Musique électronique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Homme","CPGE","3.05","Je fais du sport","2","Non"
"2020/02/04 5:39:15 PM UTC+1","Oui","Reggae","Depuis le lycée","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Femme","Fac","3.5","Je fais du sport","2","Oui"
"2020/02/04 5:42:35 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","Toujours pas","Les deux","3","Non"
"2020/02/04 5:42:47 PM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Homme","CPGE","3.0","Je fais du sport","1","Oui"
"2020/02/04 5:44:59 PM UTC+1","Oui","Rock/Metal","Depuis le lycée","Classique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","CPGE","3.8","Aucun des deux","3","Non"
"2020/02/04 5:45:09 PM UTC+1","Bien sûr","Musique électronique","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3point2","Je fais du sport","4","Non"
"2020/02/04 5:45:44 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le lycée","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Femme","CPGE","3.55","Je fais du sport","3","Non"
"2020/02/04 5:47:01 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","DUT","3.4","Les deux","2","Je suis salarié"
